state,symbol,year,perCapitaIncome
Alabama,AL,2014,"$37,047.50 "
Alaska,AK,2014,"$55,840.25 "
Arizona,AZ,2014,"$38,745.00 "
Arkansas,AR,2014,"$38,737.00 "
California,CA,2014,"$51,255.75 "
Colorado,CO,2014,"$50,761.75 "
Connecticut,CT,2014,"$65,501.50 "
Delaware,DE,2014,"$46,004.00 "
Florida,FL,2014,"$43,483.50 "
Georgia,GA,2014,"$39,951.50 "
Hawaii ,HI,2014,"$46,028.50 "
Idaho,ID,2014,"$37,670.50 "
Illinois,IL,2014,"$49,236.00 "
Indiana,IN,2014,"$41,188.50 "
Iowa,IA,2014,"$44,698.50 "
Kansas,KS,2014,"$47,001.25 "
Kentucky,KY,2014,"$37,636.25 "
Louisiana,LA,2014,"$43,074.75 "
Maine,ME,2014,"$41,808.25 "
Maryland,MD,2014,"$53,654.25 "
Massachusetts,MA,2014,"$58,930.25 "
Michigan,MI,2014,"$41,205.75 "
Minnesota,MN,2014,"$49,965.00 "
Mississippi,MS,2014,"$34,894.50 "
Missouri,MO,2014,"$41,955.00 "
Montana,MT,2014,"$42,481.50 "
Nebraska,NE,2014,"$48,953.50 "
Nevada,NV,2014,"$41,746.50 "
New Hampshire,NH,2014,"$57,056.50 "
New Jersey,NJ,2014,"$37,203.75 "
New Mexico,NM,2014,"$55,285.00 "
New York,NY,2014,"$40,279.00 "
North Carolina,NC,2014,"$57,498.00 "
North Dakota,ND,2014,"$42,826.00 "
Ohio,OH,2014,"$46,594.50 "
Oklahoma,OK,2014,"$42,107.25 "
Oregon,OR,2014,"$48,060.25 "
Pennsylvania,PA,2014,"$47,192.00 "
Rhode Island,RI,2014,"$38,133.25 "
South Carolina,SC,2014,"$47,492.00 "
South Dakota,SD,2014,"$40,742.50 "
Tennessee,TN,2014,"$47,353.50 "
Texas,TX,2014,"$38,151.25 "
Utah,UT,2014,"$47,622.50 "
Vermont,VT,2014,"$50,313.75 "
Virginia,VA,2014,"$50,860.25 "
Washington,WA,2014,"$36,571.00 "
West Virginia,WV,2014,"$44,706.75 "
Wisconsin,WI,2014,"$57,706.00 "
Wyoming,WY,2014,"$57,087.50 "
Alabama,AL,2015,"$38,523.25 "
Alaska,AK,2015,"$57,541.75 "
Arizona,AZ,2015,"$40,317.00 "
Arkansas,AR,2015,"$39,959.75 "
California,CA,2015,"$54,547.50 "
Colorado,CO,2015,"$52,346.25 "
Connecticut,CT,2015,"$67,315.00 "
Delaware,DE,2015,"$47,865.25 "
Florida,FL,2015,"$45,635.75 "
Georgia,GA,2015,"$41,927.25 "
Hawaii ,HI,2015,"$47,776.50 "
Idaho,ID,2015,"$39,346.50 "
Illinois,IL,2015,"$51,441.25 "
Indiana,IN,2015,"$42,652.75 "
Iowa,IA,2015,"$46,100.00 "
Kansas,KS,2015,"$47,339.50 "
Kentucky,KY,2015,"$39,228.25 "
Louisiana,LA,2015,"$43,114.50 "
Maine,ME,2015,"$43,644.00 "
Maryland,MD,2015,"$55,826.75 "
Massachusetts,MA,2015,"$62,369.50 "
Michigan,MI,2015,"$43,408.75 "
Minnesota,MN,2015,"$51,966.50 "
Mississippi,MS,2015,"$35,524.25 "
Missouri,MO,2015,"$43,316.25 "
Montana,MT,2015,"$43,925.50 "
Nebraska,NE,2015,"$50,541.75 "
Nevada,NV,2015,"$44,480.75 "
New Hampshire,NH,2015,"$59,163.75 "
New Jersey,NJ,2015,"$38,088.50 "
New Mexico,NM,2015,"$57,479.50 "
New York,NY,2015,"$42,056.25 "
North Carolina,NC,2015,"$54,134.00 "
North Dakota,ND,2015,"$44,435.00 "
Ohio,OH,2015,"$44,907.50 "
Oklahoma,OK,2015,"$44,655.25 "
Oregon,OR,2015,"$49,918.00 "
Pennsylvania,PA,2015,"$48,672.25 "
Rhode Island,RI,2015,"$40,047.50 "
South Carolina,SC,2015,"$49,149.00 "
South Dakota,SD,2015,"$42,524.00 "
Tennessee,TN,2015,"$47,472.50 "
Texas,TX,2015,"$40,427.00 "
Utah,UT,2015,"$48,885.75 "
Vermont,VT,2015,"$52,231.50 "
Virginia,VA,2015,"$53,052.50 "
Washington,WA,2015,"$37,472.25 "
West Virginia,WV,2015,"$46,539.75 "
Wisconsin,WI,2015,"$57,893.50 "
Wyoming,WY,2015,"$59,622.75 "
Alabama,AL,2016,"$39,009.25 "
Alaska,AK,2016,"$56,327.25 "
Arizona,AZ,2016,"$41,471.25 "
Arkansas,AR,2016,"$40,867.00 "
California,CA,2016,"$56,559.50 "
Colorado,CO,2016,"$52,400.50 "
Connecticut,CT,2016,"$68,660.00 "
Delaware,DE,2016,"$48,724.00 "
Florida,FL,2016,"$46,457.75 "
Georgia,GA,2016,"$43,035.00 "
Hawaii ,HI,2016,"$49,153.75 "
Idaho,ID,2016,"$40,078.75 "
Illinois,IL,2016,"$52,030.50 "
Indiana,IN,2016,"$43,641.25 "
Iowa,IA,2016,"$46,285.00 "
Kansas,KS,2016,"$47,328.50 "
Kentucky,KY,2016,"$39,741.00 "
Louisiana,LA,2016,"$42,744.00 "
Maine,ME,2016,"$44,732.75 "
Maryland,MD,2016,"$57,619.00 "
Massachusetts,MA,2016,"$64,278.75 "
Michigan,MI,2016,"$44,519.50 "
Minnesota,MN,2016,"$52,586.00 "
Mississippi,MS,2016,"$36,017.25 "
Missouri,MO,2016,"$44,400.00 "
Montana,MT,2016,"$44,049.25 "
Nebraska,NE,2016,"$49,366.75 "
Nevada,NV,2016,"$45,436.50 "
New Hampshire,NH,2016,"$60,512.25 "
New Jersey,NJ,2016,"$38,771.75 "
New Mexico,NM,2016,"$59,277.75 "
New York,NY,2016,"$42,935.00 "
North Carolina,NC,2016,"$51,999.75 "
North Dakota,ND,2016,"$45,202.25 "
Ohio,OH,2016,"$42,532.00 "
Oklahoma,OK,2016,"$46,020.75 "
Oregon,OR,2016,"$51,168.75 "
Pennsylvania,PA,2016,"$49,190.50 "
Rhode Island,RI,2016,"$41,173.75 "
South Carolina,SC,2016,"$49,177.00 "
South Dakota,SD,2016,"$43,486.00 "
Tennessee,TN,2016,"$46,591.50 "
Texas,TX,2016,"$41,746.50 "
Utah,UT,2016,"$49,593.25 "
Vermont,VT,2016,"$53,257.75 "
Virginia,VA,2016,"$54,912.25 "
Washington,WA,2016,"$37,383.25 "
West Virginia,WV,2016,"$47,193.50 "
Wisconsin,WI,2016,"$54,868.50 "
Wyoming,WY,2016,"$61,142.00 "
Alabama,AL,2017,"$40,242.75 "
Alaska,AK,2017,"$57,298.50 "
Arizona,AZ,2017,"$43,281.50 "
Arkansas,AR,2017,"$42,055.50 "
California,CA,2017,"$58,818.00 "
Colorado,CO,2017,"$55,276.50 "
Connecticut,CT,2017,"$70,142.25 "
Delaware,DE,2017,"$50,497.00 "
Florida,FL,2017,"$49,026.75 "
Georgia,GA,2017,"$44,991.50 "
Hawaii ,HI,2017,"$51,043.25 "
Idaho,ID,2017,"$41,561.25 "
Illinois,IL,2017,"$53,643.75 "
Indiana,IN,2017,"$45,100.00 "
Iowa,IA,2017,"$47,287.75 "
Kansas,KS,2017,"$48,741.00 "
Kentucky,KY,2017,"$40,772.75 "
Louisiana,LA,2017,"$44,069.25 "
Maine,ME,2017,"$46,409.00 "
Maryland,MD,2017,"$59,180.75 "
Massachusetts,MA,2017,"$66,632.00 "
Michigan,MI,2017,"$45,648.25 "
Minnesota,MN,2017,"$54,315.00 "
Mississippi,MS,2017,"$36,913.25 "
Missouri,MO,2017,"$45,374.50 "
Montana,MT,2017,"$46,114.25 "
Nebraska,NE,2017,"$50,202.50 "
Nevada,NV,2017,"$47,519.25 "
New Hampshire,NH,2017,"$62,393.50 "
New Jersey,NJ,2017,"$39,426.75 "
New Mexico,NM,2017,"$63,036.00 "
New York,NY,2017,"$44,520.50 "
North Carolina,NC,2017,"$52,426.25 "
North Dakota,ND,2017,"$46,708.75 "
Ohio,OH,2017,"$44,430.50 "
Oklahoma,OK,2017,"$47,999.75 "
Oregon,OR,2017,"$52,486.00 "
Pennsylvania,PA,2017,"$50,940.25 "
Rhode Island,RI,2017,"$42,810.00 "
South Carolina,SC,2017,"$50,375.25 "
South Dakota,SD,2017,"$44,961.25 "
Tennessee,TN,2017,"$49,226.00 "
Texas,TX,2017,"$43,406.50 "
Utah,UT,2017,"$50,714.00 "
Vermont,VT,2017,"$54,978.50 "
Virginia,VA,2017,"$57,260.75 "
Washington,WA,2017,"$39,162.00 "
West Virginia,WV,2017,"$48,736.25 "
Wisconsin,WI,2017,"$57,066.75 "
Wyoming,WY,2017,"$63,104.00 "
Alabama,AL,2018,"$41,598.50 "
Alaska,AK,2018,"$59,765.00 "
Arizona,AZ,2018,"$45,280.75 "
Arkansas,AR,2018,"$43,655.00 "
California,CA,2018,"$61,518.50 "
Colorado,CO,2018,"$58,486.00 "
Connecticut,CT,2018,"$73,186.00 "
Delaware,DE,2018,"$52,823.50 "
Florida,FL,2018,"$51,443.50 "
