state,symbol,year,population
Alabama,AL,2014,4887659
Arizona,AZ,2014,6639908.5
Arkansas,AR,2014,2962086.25
California,CA,2014,38642380.75
Colorado,CO,2014,5346358
Connecticut,CT,2014,3614519.25
Delaware,DE,2014,935360
Florida,FL,2014,19808499
Georgia,GA,2014,10081527.75
Hawaii,HI,2014,1434644.5
Idaho,ID,2014,1640479.5
Illinois,IL,2014,12970954.5
Indiana,IN,2014,6609656.25
Iowa,IA,2014,3121531.5
Kansas,KS,2014,2912194
Kentucky,KY,2014,4429640.75
Louisiana,LA,2014,4649845
Maine,ME,2014,1336176.5
Maryland,MD,2014,6009397
Massachusetts,MA,2014,6818468
Michigan,MI,2014,9974675
Minnesota,MN,2014,5473398.5
Mississippi,MS,2014,2987750.5
Missouri,MO,2014,6061561
Montana,MT,2014,1025247.75
Nebraska,NE,2014,1889984
Nevada,NV,2014,2811304.75
New Hampshire,NH,2014,9034972.5
New Jersey,NJ,2014,2095890.75
New Mexico,NM,2014,20003370.25
New York,NY,2014,9883240
North Carolina,NC,2014,744670.25
North Dakota,ND,2014,11649220.5
Ohio,OH,2014,3873107.75
Oklahoma,OK,2014,3967635.75
Oregon,OR,2014,12881129.5
Pennsylvania,PA,2014,1073171.75
Rhode Island,RI,2014,4794305.5
South Carolina,SC,2014,847545.25
South Dakota,SD,2014,6560285.75
Tennessee,TN,2014,26915747.25
Texas,TX,2014,2951764
Utah,UT,2014,634055.5
Vermont,VT,2014,8334087.75
Virginia,VA,2014,7071610
Washington,WA,2014,1852971.75
West Virginia,WV,2014,5778657.25
Wisconsin,WI,2014,581377.75
Wyoming,WY,2014,14815350.25
Alabama,AL,2015,4909074
Arizona,AZ,2015,6717028.5
Arkansas,AR,2015,2970927.5
California,CA,2015,38963797.75
Colorado,CO,2015,5441368
Connecticut,CT,2015,3612345.5
Delaware,DE,2015,944640.5
Florida,FL,2015,20155357.5
Georgia,GA,2015,10194489.5
Hawaii,HI,2015,1446480.5
Idaho,ID,2015,1664068
Illinois,IL,2015,12965174.25
Indiana,IN,2015,6630744.5
Iowa,IA,2015,3136367.5
Kansas,KS,2015,2922242
Kentucky,KY,2015,4443992
Louisiana,LA,2015,4670423.25
Maine,ME,2015,1336511.75
Maryland,MD,2015,6049037
Massachusetts,MA,2015,6865839.75
Michigan,MI,2015,9990744.5
Minnesota,MN,2015,5511620.25
Mississippi,MS,2015,2985676.75
Missouri,MO,2015,6077841
Montana,MT,2015,1034791.5
Nebraska,NE,2015,1904998
Nevada,NV,2015,2857690.5
New Hampshire,NH,2015,9078209.5
New Jersey,NJ,2015,2096800.75
New Mexico,NM,2015,20089193.75
New York,NY,2015,9970568
North Carolina,NC,2015,760730.75
North Dakota,ND,2015,11676046
Ohio,OH,2015,3899914.25
Oklahoma,OK,2015,4021772
Oregon,OR,2015,12900853
Pennsylvania,PA,2015,1077563.75
Rhode Island,RI,2015,4853192.5
South Carolina,SC,2015,852751.5
South Dakota,SD,2015,6614467.75
Tennessee,TN,2015,27395991.25
Texas,TX,2015,3001299.25
Utah,UT,2015,635745
Vermont,VT,2015,8390821
Virginia,VA,2015,7184313.25
Washington,WA,2015,1846126.5
West Virginia,WV,2015,5795115.75
Wisconsin,WI,2015,583171.25
Wyoming,WY,2015,14872170.5
Alabama,AL,2016,4931224.75
Arizona,AZ,2016,6801761.5
Arkansas,AR,2016,2981013.5
California,CA,2016,39222767.5
Colorado,CO,2016,5527833
Connecticut,CT,2016,3608757.25
Delaware,DE,2016,953198.25
Florida,FL,2016,20535153.5
Georgia,GA,2016,10317447.25
Hawaii,HI,2016,1456062.75
Idaho,ID,2016,1696837.25
Illinois,IL,2016,12948085.25
Indiana,IN,2016,6658846
Iowa,IA,2016,3149817.25
Kansas,KS,2016,2927071
Kentucky,KY,2016,4458600
Louisiana,LA,2016,4683488.5
Maine,ME,2016,1340384
Maryland,MD,2016,6080955.5
Massachusetts,MA,2016,6910148.5
Michigan,MI,2016,10018729.75
Minnesota,MN,2016,5557173.25
Mississippi,MS,2016,2984694
Missouri,MO,2016,6094644
Montana,MT,2016,1045929.25
Nebraska,NE,2016,1921109.75
Nevada,NV,2016,2906278.25
New Hampshire,NH,2016,9122873.5
New Jersey,NJ,2016,2099819
New Mexico,NM,2016,20151409.5
New York,NY,2016,10076108.5
North Carolina,NC,2016,764727.5
North Dakota,ND,2016,11704463
Ohio,OH,2016,3915833
Oklahoma,OK,2016,4091178.25
Oregon,OR,2016,12921103
Pennsylvania,PA,2016,1082104.75
Rhode Island,RI,2016,4911139.25
South Carolina,SC,2016,860891
South Dakota,SD,2016,6674171
Tennessee,TN,2016,27825771.75
Texas,TX,2016,3063138.5
Utah,UT,2016,636690.75
Vermont,VT,2016,8446134
Virginia,VA,2016,7316298.75
Washington,WA,2016,1835877.5
West Virginia,WV,2016,5813779.5
Wisconsin,WI,2016,581544.25
Wyoming,WY,2016,14929356
Alabama,AL,2017,4953310.75
Arizona,AZ,2017,6882702
Arkansas,AR,2017,2990777.5
California,CA,2017,39420180.25
Colorado,CO,2017,5601622.75
Connecticut,CT,2017,3608668.5
Delaware,DE,2017,961826.25
Florida,FL,2017,20867602.5
Georgia,GA,2017,10429151.25
Hawaii,HI,2017,1458688.25
Idaho,ID,2017,1733843
Illinois,IL,2017,12924839
Indiana,IN,2017,6688248.5
Iowa,IA,2017,3162489.25
Kansas,KS,2017,2928316.75
Kentucky,KY,2017,4475391.75
Louisiana,LA,2017,4679099.75
Maine,ME,2017,1345166
Maryland,MD,2017,6112970.5
Massachusetts,MA,2017,6957472.25
Michigan,MI,2017,10049794.75
Minnesota,MN,2017,5605523.25
Mississippi,MS,2017,2982874
Missouri,MO,2017,6113821
Montana,MT,2017,1057663.75
Nebraska,NE,2017,1934366.25
Nevada,NV,2017,2956924.25
New Hampshire,NH,2017,9175177.25
New Jersey,NJ,2017,2101618
New Mexico,NM,2017,20193181.5
New York,NY,2017,10176949
North Carolina,NC,2017,767088
North Dakota,ND,2017,11737968.5
Ohio,OH,2017,3921594.75
Oklahoma,OK,2017,4145586
Oregon,OR,2017,12948474.5
Pennsylvania,PA,2017,1085588.75
Rhode Island,RI,2017,4966625
South Carolina,SC,2017,869731
South Dakota,SD,2017,6740351.25
Tennessee,TN,2017,28191474.75
Texas,TX,2017,3125083.5
Utah,UT,2017,638995.25
Vermont,VT,2017,8502072
Virginia,VA,2017,7444189.25
Washington,WA,2017,1823156.25
West Virginia,WV,2017,5836965.5
Wisconsin,WI,2017,576853.75
Wyoming,WY,2017,14994783.25
Alabama,AL,2018,4977409.25
Arizona,AZ,2018,6972503.75
Arkansas,AR,2018,2997696.75
California,CA,2018,39529784.5
Colorado,CO,2018,5675522
Connecticut,CT,2018,3610835
Delaware,DE,2018,971322.5
Florida,FL,2018,21132758.75
Georgia,GA,2018,10534558.25
Hawaii,HI,2018,1459814
Idaho,ID,2018,1769428.75
Illinois,IL,2018,12890013.75
Indiana,IN,2018,6725893.5
Iowa,IA,2018,3172217.75
Kansas,KS,2018,2931648
Kentucky,KY,2018,4487537.5
Louisiana,LA,2018,4670995.25
Maine,ME,2018,1350846
Maryland,MD,2018,6139536.5
Massachusetts,MA,2018,6993131
Michigan,MI,2018,10070165.5
Minnesota,MN,2018,5649664.25
Mississippi,MS,2018,2975386.25
Missouri,MO,2018,6129245.75
Montana,MT,2018,1066714
Nebraska,NE,2018,1945389
Nevada,NV,2018,3012273.25
New Hampshire,NH,2018,9219779.25
New Jersey,NJ,2018,2104180
New Mexico,NM,2018,20221715.5
New York,NY,2018,10276379.25
North Carolina,NC,2018,771514
North Dakota,ND,2018,11764261
Ohio,OH,2018,3929909
Oklahoma,OK,2018,4183478.5
Oregon,OR,2018,12979508
Pennsylvania,PA,2018,1091378.5
Rhode Island,RI,2018,5021930.25
South Carolina,SC,2018,875655.75
South Dakota,SD,2018,6805853.25
Tennessee,TN,2018,28518359
Texas,TX,2018,3180660.5
Utah,UT,2018,640674.75
Vermont,VT,2018,8548738.75
Virginia,VA,2018,7547933.5
Washington,WA,2018,1811042.25
West Virginia,WV,2018,5859237.75
Wisconsin,WI,2018,575109.5
Wyoming,WY,2018,15052001
Alabama,AL,2019,5004337.5
Arizona,AZ,2019,7072762.75
Arkansas,AR,2019,3005050.25
California,CA,2019,39551101.5
Colorado,CO,2019,5735601
Connecticut,CT,2019,3608095
Delaware,DE,2019,981652.5
Florida,FL,2019,21362154.25
Georgia,GA,2019,10642116.75
Hawaii,HI,2019,1457398.25
Idaho,ID,2019,1808528
Illinois,IL,2019,12850685.25
Indiana,IN,2019,6762080
Iowa,IA,2019,3183843.75
Kansas,KS,2019,2934593.75
Kentucky,KY,2019,4498634.25
Louisiana,LA,2019,4664806.75
Maine,ME,2019,1357653.75
Maryland,MD,2019,6163827.25
Massachusetts,MA,2019,7017022.5
Michigan,MI,2019,10078697.25
Minnesota,MN,2019,5686216.25
Mississippi,MS,2019,2968878
Missouri,MO,2019,6144368
Montana,MT,2019,1075983
Nebraska,NE,2019,1955100
Nevada,NV,2019,3068213.75
New Hampshire,NH,2019,9260409.5
New Jersey,NJ,2019,2110910.25
New Mexico,NM,2019,20222365
New York,NY,2019,10371813.75
North Carolina,NC,2019,776402.5
North Dakota,ND,2019,11788948.75
Ohio,OH,2019,3945083
Oklahoma,OK,2019,4216116.25
Oregon,OR,2019,12994274.25
Pennsylvania,PA,2019,1094828.5
Rhode Island,RI,2019,5078185.75
South Carolina,SC,2019,882420.5
South Dakota,SD,2019,6864435.5
Tennessee,TN,2019,28866193
Texas,TX,2019,3232970.25
Utah,UT,2019,641996
Vermont,VT,2019,8597977.5
Virginia,VA,2019,7639563.5
Washington,WA,2019,1800870.5
West Virginia,WV,2019,5880587.5
Wisconsin,WI,2019,575605.5
Wyoming,WY,2019,15091709.5
Alabama,AL,2020,5026219.25
Arizona,AZ,2020,7177976.5
Arkansas,AR,2020,3013717.75
California,CA,2020,39486492.25
Colorado,CO,2020,5782777
Connecticut,CT,2020,3603587
Delaware,DE,2020,992389.25
Florida,FL,2020,21580331.5
Georgia,GA,2020,10728033.75
Hawaii,HI,2020,1452138
Idaho,ID,2020,1850060.75
Illinois,IL,2020,12784277.25
Indiana,IN,2020,6787818.25
Iowa,IA,2020,3189953
Kansas,KS,2020,2936626.5
Kentucky,KY,2020,4505441
Louisiana,LA,2020,4651065.75
Maine,ME,2020,1363526.5
Maryland,MD,2020,6173633.25
Massachusetts,MA,2020,7020650.5
Michigan,MI,2020,10070375
Minnesota,MN,2020,5706694
Mississippi,MS,2020,2958337.75
Missouri,MO,2020,6156546.5
Montana,MT,2020,1087488.5
Nebraska,NE,2020,1961685.5
Nevada,NV,2020,3113147.25
New Hampshire,NH,2020,9281520.75
New Jersey,NJ,2020,2117354.75
New Mexico,NM,2020,20135790
New York,NY,2020,10460612.5
North Carolina,NC,2020,778476.5
North Dakota,ND,2020,11793444.25
Ohio,OH,2020,3963894
Oklahoma,OK,2020,4240124.75
Oregon,OR,2020,12992543.75
Pennsylvania,PA,2020,1096609.5
Rhode Island,RI,2020,5132576.25
South Carolina,SC,2020,887895.5
South Dakota,SD,2020,6922195
Tennessee,TN,2020,29220371
Texas,TX,2020,3283526
Utah,UT,2020,643126.25
Vermont,VT,2020,8632597.5
Virginia,VA,2020,7714198.75
Washington,WA,2020,1790901.25
West Virginia,WV,2020,5893362.25
Wisconsin,WI,2020,577299.25
Wyoming,WY,2020,15106532
Alabama,AL,2021,5041117.25
Arizona,AZ,2021,7278162.75
Arkansas,AR,2021,3026614.75
California,CA,2021,39246401.25
Colorado,CO,2021,5812871
Connecticut,CT,2021,3606291.25
Delaware,DE,2021,1003677
Florida,FL,2021,21787976.75
Georgia,GA,2021,10801634.25
Hawaii,HI,2021,1441939.75
Idaho,ID,2021,1901376.75
Illinois,IL,2021,12674010.5
Indiana,IN,2021,6807224
Iowa,IA,2021,3193665.75
Kansas,KS,2021,2935130.75
Kentucky,KY,2021,4510298
Louisiana,LA,2021,4626471.5
Maine,ME,2021,1372551
Maryland,MD,2021,6166366
Massachusetts,MA,2021,6986023.5
Michigan,MI,2021,10052812.75
Minnesota,MN,2021,5708197.25
Mississippi,MS,2021,2950723.75
Missouri,MO,2021,6169450
Montana,MT,2021,1104537.5
Nebraska,NE,2021,1963998.75
Nevada,NV,2021,3144656.25
New Hampshire,NH,2021,9268918.25
New Jersey,NJ,2021,2116473.25
New Mexico,NM,2021,19841612.25
New York,NY,2021,10553525.5
North Carolina,NC,2021,775104.75
North Dakota,ND,2021,11782448.25
Ohio,OH,2021,3987574
Oklahoma,OK,2021,4246974.5
Oregon,OR,2021,12966957
Pennsylvania,PA,2021,1095823.5
Rhode Island,RI,2021,5192117.25
South Carolina,SC,2021,895532
South Dakota,SD,2021,6976781.75
Tennessee,TN,2021,29533960
Texas,TX,2021,3338353.25
Utah,UT,2021,645692.75
Vermont,VT,2021,8643889.5
Virginia,VA,2021,7739898.75
Washington,WA,2021,1783434.5
West Virginia,WV,2021,5896893.5
Wisconsin,WI,2021,578903
Wyoming,WY,2021,15095617
