GeoFips,GeoName,POSTAL ABBREVIATION,Description,2014,2015,2016,2017,2018,2019,2020,2021
1000,Alabama,AL,"Population (midperiod, persons) 1/",4887659,4909074,4931224.75,4953310.75,4977409.25,5004337.5,5026219.25,5041117.25
2000,Alaska *,AZ,"Population (midperiod, persons) 1/",737993.5,739550.75,742756.25,741685.5,737948,735030.25,732943.25,732773.75
4000,Arizona,AZ,"Population (midperiod, persons) 1/",6639908.5,6717028.5,6801761.5,6882702,6972503.75,7072762.75,7177976.5,7278162.75
5000,Arkansas,AR,"Population (midperiod, persons) 1/",2962086.25,2970927.5,2981013.5,2990777.5,2997696.75,3005050.25,3013717.75,3026614.75
6000,California,CA,"Population (midperiod, persons) 1/",38642380.75,38963797.75,39222767.5,39420180.25,39529784.5,39551101.5,39486492.25,39246401.25
8000,Colorado,CO,"Population (midperiod, persons) 1/",5346358,5441368,5527833,5601622.75,5675522,5735601,5782777,5812871
9000,Connecticut,CT,"Population (midperiod, persons) 1/",3614519.25,3612345.5,3608757.25,3608668.5,3610835,3608095,3603587,3606291.25
10000,Delaware,DE,"Population (midperiod, persons) 1/",935360,944640.5,953198.25,961826.25,971322.5,981652.5,992389.25,1003677
12000,Florida,FL,"Population (midperiod, persons) 1/",19808499,20155357.5,20535153.5,20867602.5,21132758.75,21362154.25,21580331.5,21787976.75
13000,Georgia,GA,"Population (midperiod, persons) 1/",10081527.75,10194489.5,10317447.25,10429151.25,10534558.25,10642116.75,10728033.75,10801634.25
15000,Hawaii *,HI,"Population (midperiod, persons) 1/",1434644.5,1446480.5,1456062.75,1458688.25,1459814,1457398.25,1452138,1441939.75
16000,Idaho,ID,"Population (midperiod, persons) 1/",1640479.5,1664068,1696837.25,1733843,1769428.75,1808528,1850060.75,1901376.75
17000,Illinois,IL,"Population (midperiod, persons) 1/",12970954.5,12965174.25,12948085.25,12924839,12890013.75,12850685.25,12784277.25,12674010.5
18000,Indiana,IN,"Population (midperiod, persons) 1/",6609656.25,6630744.5,6658846,6688248.5,6725893.5,6762080,6787818.25,6807224
19000,Iowa,IA,"Population (midperiod, persons) 1/",3121531.5,3136367.5,3149817.25,3162489.25,3172217.75,3183843.75,3189953,3193665.75
20000,Kansas,KS,"Population (midperiod, persons) 1/",2912194,2922242,2927071,2928316.75,2931648,2934593.75,2936626.5,2935130.75
21000,Kentucky,KY,"Population (midperiod, persons) 1/",4429640.75,4443992,4458600,4475391.75,4487537.5,4498634.25,4505441,4510298
22000,Louisiana,LA,"Population (midperiod, persons) 1/",4649845,4670423.25,4683488.5,4679099.75,4670995.25,4664806.75,4651065.75,4626471.5
23000,Maine,ME,"Population (midperiod, persons) 1/",1336176.5,1336511.75,1340384,1345166,1350846,1357653.75,1363526.5,1372551
24000,Maryland,MD,"Population (midperiod, persons) 1/",6009397,6049037,6080955.5,6112970.5,6139536.5,6163827.25,6173633.25,6166366
25000,Massachusetts,MA,"Population (midperiod, persons) 1/",6818468,6865839.75,6910148.5,6957472.25,6993131,7017022.5,7020650.5,6986023.5
26000,Michigan,MI,"Population (midperiod, persons) 1/",9974675,9990744.5,10018729.75,10049794.75,10070165.5,10078697.25,10070375,10052812.75
27000,Minnesota,MN,"Population (midperiod, persons) 1/",5473398.5,5511620.25,5557173.25,5605523.25,5649664.25,5686216.25,5706694,5708197.25
28000,Mississippi,MS,"Population (midperiod, persons) 1/",2987750.5,2985676.75,2984694,2982874,2975386.25,2968878,2958337.75,2950723.75
29000,Missouri,MO,"Population (midperiod, persons) 1/",6061561,6077841,6094644,6113821,6129245.75,6144368,6156546.5,6169450
30000,Montana,MT,"Population (midperiod, persons) 1/",1025247.75,1034791.5,1045929.25,1057663.75,1066714,1075983,1087488.5,1104537.5
31000,Nebraska,NE,"Population (midperiod, persons) 1/",1889984,1904998,1921109.75,1934366.25,1945389,1955100,1961685.5,1963998.75
32000,Nevada,NV,"Population (midperiod, persons) 1/",2811304.75,2857690.5,2906278.25,2956924.25,3012273.25,3068213.75,3113147.25,3144656.25
33000,New Hampshire,NH,"Population (midperiod, persons) 1/",9034972.5,9078209.5,9122873.5,9175177.25,9219779.25,9260409.5,9281520.75,9268918.25
34000,New Jersey,NJ,"Population (midperiod, persons) 1/",2095890.75,2096800.75,2099819,2101618,2104180,2110910.25,2117354.75,2116473.25
35000,New Mexico,NM,"Population (midperiod, persons) 1/",20003370.25,20089193.75,20151409.5,20193181.5,20221715.5,20222365,20135790,19841612.25
36000,New York,NY,"Population (midperiod, persons) 1/",9883240,9970568,10076108.5,10176949,10276379.25,10371813.75,10460612.5,10553525.5
37000,North Carolina,NC,"Population (midperiod, persons) 1/",744670.25,760730.75,764727.5,767088,771514,776402.5,778476.5,775104.75
38000,North Dakota,ND,"Population (midperiod, persons) 1/",11649220.5,11676046,11704463,11737968.5,11764261,11788948.75,11793444.25,11782448.25
39000,Ohio,OH,"Population (midperiod, persons) 1/",3873107.75,3899914.25,3915833,3921594.75,3929909,3945083,3963894,3987574
40000,Oklahoma,OK,"Population (midperiod, persons) 1/",3967635.75,4021772,4091178.25,4145586,4183478.5,4216116.25,4240124.75,4246974.5
41000,Oregon,OR,"Population (midperiod, persons) 1/",12881129.5,12900853,12921103,12948474.5,12979508,12994274.25,12992543.75,12966957
42000,Pennsylvania,PA,"Population (midperiod, persons) 1/",1073171.75,1077563.75,1082104.75,1085588.75,1091378.5,1094828.5,1096609.5,1095823.5
44000,Rhode Island,RI,"Population (midperiod, persons) 1/",4794305.5,4853192.5,4911139.25,4966625,5021930.25,5078185.75,5132576.25,5192117.25
45000,South Carolina,SC,"Population (midperiod, persons) 1/",847545.25,852751.5,860891,869731,875655.75,882420.5,887895.5,895532
46000,South Dakota,SD,"Population (midperiod, persons) 1/",6560285.75,6614467.75,6674171,6740351.25,6805853.25,6864435.5,6922195,6976781.75
47000,Tennessee,TN,"Population (midperiod, persons) 1/",26915747.25,27395991.25,27825771.75,28191474.75,28518359,28866193,29220371,29533960
48000,Texas,TX,"Population (midperiod, persons) 1/",2951764,3001299.25,3063138.5,3125083.5,3180660.5,3232970.25,3283526,3338353.25
