zip,primary_city,state,county,latitude,longitude,irs_estimated_population
501,Holtsville,NY,Suffolk County,40.81,-73.04,562
544,Holtsville,NY,Suffolk County,40.81,-73.04,0
601,Adjuntas,PR,Adjuntas Municipio,18.16,-66.72,0
602,Aguada,PR,Aguada Municipio,18.38,-67.18,0
603,Aguadilla,PR,Aguadilla Municipio,18.43,-67.15,0
604,Aguadilla,PR,,18.43,-67.15,0
605,Aguadilla,PR,,18.43,-67.15,0
606,Maricao,PR,Maricao Municipio,18.18,-66.98,0
610,Anasco,PR,Anasco Municipio,18.28,-67.14,0
611,Angeles,PR,,18.28,-66.79,0
612,Arecibo,PR,Arecibo Municipio,18.45,-66.73,0
613,Arecibo,PR,,18.45,-66.73,0
614,Arecibo,PR,,18.45,-66.73,0
616,Bajadero,PR,Arecibo Municipio,18.42,-66.67,0
617,Barceloneta,PR,Barceloneta Municipio,18.45,-66.56,0
622,Boqueron,PR,Cabo Rojo Municipio,17.99,-67.15,0
623,Cabo Rojo,PR,Cabo Rojo Municipio,18.08,-67.14,0
624,Penuelas,PR,Penuelas Municipio,18.06,-66.72,0
627,Camuy,PR,Camuy Municipio,18.48,-66.84,0
631,Castaner,PR,Lares Municipio,18.19,-66.82,0
636,Rosario,PR,,18.15,-67.06,0
637,Sabana Grande,PR,Sabana Grande Municipio,18.08,-66.96,0
638,Ciales,PR,Ciales Municipio,18.33,-66.47,0
641,Utuado,PR,Utuado Municipio,18.27,-66.7,0
646,Dorado,PR,Dorado Municipio,18.47,-66.27,0
647,Ensenada,PR,Guanica Municipio,17.96,-66.94,0
650,Florida,PR,Florida Municipio,18.36,-66.56,0
652,Garrochales,PR,Arecibo Municipio,18.45,-66.6,0
653,Guanica,PR,Guanica Municipio,17.99,-66.89,0
656,Guayanilla,PR,Guayanilla Municipio,18.02,-66.79,0
659,Hatillo,PR,Hatillo Municipio,18.48,-66.82,0
660,Hormigueros,PR,Hormigueros Municipio,18.14,-67.12,0
662,Isabela,PR,Isabela Municipio,18.5,-67.02,0
664,Jayuya,PR,Jayuya Municipio,18.22,-66.59,0
667,Lajas,PR,Lajas Municipio,18.04,-67.06,0
669,Lares,PR,Lares Municipio,18.29,-66.88,0
670,Las Marias,PR,Las Marias Municipio,18.27,-67.06,0
674,Manati,PR,Manati Municipio,18.43,-66.48,0
676,Moca,PR,Moca Municipio,18.39,-67.11,0
677,Rincon,PR,Rincon Municipio,18.34,-67.25,0
678,Quebradillas,PR,Quebradillas Municipio,18.47,-66.93,0
680,Mayaguez,PR,Mayaguez Municipio,18.2,-67.14,0
681,Mayaguez,PR,,18.2,-67.14,0
682,Mayaguez,PR,Mayaguez Municipio,18.22,-67.16,0
683,San German,PR,San German Municipio,18.08,-67.04,0
685,San Sebastian,PR,San Sebastian Municipio,18.33,-66.99,0
687,Morovis,PR,Morovis Municipio,18.32,-66.4,0
688,Sabana Hoyos,PR,Arecibo Municipio,18.38,-66.62,0
690,San Antonio,PR,Aguadilla Municipio,18.49,-67.09,0
692,Vega Alta,PR,Vega Alta Municipio,18.41,-66.32,0
693,Vega Baja,PR,Vega Baja Municipio,18.44,-66.39,0
694,Vega Baja,PR,Vega Baja Municipio,18.48,-66.39,0
698,Yauco,PR,Yauco Municipio,18.03,-66.86,0
703,Aguas Buenas,PR,Aguas Buenas Municipio,18.25,-66.1,0
704,Aguirre,PR,Salinas Municipio,17.96,-66.22,0
705,Aibonito,PR,Aibonito Municipio,18.14,-66.26,0
707,Maunabo,PR,Maunabo Municipio,18,-65.9,0
714,Arroyo,PR,Arroyo Municipio,17.97,-66.06,0
715,Mercedita,PR,Ponce Municipio,18.01,-66.56,0
716,Ponce,PR,Ponce Municipio,17.98,-66.6,0
717,Ponce,PR,Ponce Municipio,18,-66.61,0
